id,overall_worklogs
675975,13873.452520162356
675972,22613.01888290021
675857,11719.382862220724
675849,23976.99579019618
675845,17498.82888680639
675843,24357.195525739407
675841,25060.89653684921
675838,18995.081193166996
675836,11356.91996048073
675834,11344.432619815825
675831,11292.177616660614
675825,11344.432619815825
675917,7336.456334805787
675915,7047.886986342413
675912,7047.886986342413
675909,8067.11249542871
675906,7917.75810904071
675892,6181.61022500513
675887,7758.154605989374
675873,7720.783399215539
675921,5932.105805809082
675919,6069.031253409289
686617,12721.298730595407
686615,12839.00457398033
686610,12584.383949728499
686535,14363.69654839268
686521,13525.744981876296
686518,16727.998880475043
686512,12949.667044475967
686499,13589.197578118434
686454,18271.909363419516
686439,13552.63552195388
686411,12916.020906074596
686402,13214.542490016536
686398,13569.266248092172
679232,11676.114614984708
688410,15943.925548677827
688406,11676.114614984708
688403,11796.018119441675
688394,11404.531361024794
688390,20774.562324306622
688382,11188.114024729608
688378,11068.210520272642
688373,11404.531361024794
688369,11188.114024729608
679091,20774.562324306622
679078,11068.210520272642
688360,11188.114024729608
688357,11167.722130233005
688354,40100.0
679064,27672.10901961579
678967,11167.722130233005
679059,27672.10901961579
679049,12595.867547754644
679046,13988.557182007125
679044,28056.91408764711
679042,27672.10901961579
679040,27672.10901961579
679037,11167.722130233005
688348,13988.557182007125
679034,11167.722130233005
679031,11167.722130233005
679027,11047.818625776039
688321,11167.722130233005
688317,11167.722130233005
688314,11167.722130233005
679025,11167.722130233005
678963,11384.139466528191
688295,11047.567047165052
688286,11167.470551622018
679017,11167.470551622018
679013,11383.887887917204
679012,11383.887887917204
679009,11383.887887917204
679007,11383.887887917204
679006,11383.887887917204
679004,11383.887887917204
679000,11383.887887917204
678998,11383.887887917204
678994,11383.887887917204
678992,11383.887887917204
688267,11047.567047165052
678981,20783.72864870002
678969,11392.847929572063
688196,11056.52708881991
688132,11074.06983373612
702545,10853.548034914289
702528,28279.896071887713
702499,10986.490482171284
702376,11601.200886963165
688362,11279.883273135434
688306,11259.239800027844
720893,5171.588722691355
893668,8512.970370294242
720984,17860.57029212543
720982,15197.564957861521
720986,19344.72509070754
721235,12297.950441283801
686524,20267.83484561257
686516,13420.951554679667
686451,16288.554342073565
686445,13639.907184812295
686443,10647.030494860996
686436,20478.389396830586
686415,15373.843797091844
675910,14946.580990329669
675878,25946.963963432263
675853,27613.068927488384
675850,27978.146641111605
675847,15660.612157568276
675965,9637.831665158255
675938,10624.101246012904
675955,14894.087702889652
675861,24726.982839724802
675952,9135.251103074645
675949,11003.300772068815
675961,10886.193605105314
721720,13046.37010971556
721695,13046.37010971556
720957,10592.42128543418
721855,11871.865297864008
721850,10709.176330075446
721849,10709.176330075446
721848,10709.176330075446
721776,11871.865297864008
721747,10709.176330075446
721736,10709.176330075446
721735,13783.974580304355
721733,10709.176330075446
721726,10709.176330075446
721718,11871.865297864008
721693,10709.176330075446
721692,10709.176330075446
721691,11871.865297864008
721690,10709.176330075446
721680,11871.865297864008
721569,10709.176330075446
721564,10709.176330075446
721542,10709.176330075446
721501,13783.974580304355
721486,10709.176330075446
721485,10709.176330075446
721484,10709.176330075446
721483,10709.176330075446
721482,10709.176330075446
721481,10709.176330075446
721480,10709.176330075446
721466,10709.176330075446
721429,10709.176330075446
721336,11871.865297864008
721290,15000.141770665183
721277,16476.554201439198
721276,17886.44850623001
721275,16476.554201439198
721252,11871.865297864008
721242,10709.176330075446
721161,10709.176330075446
721066,10709.176330075446
721057,10709.176330075446
721014,10709.176330075446
720995,11871.865297864008
720886,10709.176330075446
720834,11871.865297864008
856255,10709.176330075446
856254,11871.865297864008
856253,10709.176330075446
933881,10709.176330075446
933880,10709.176330075446
933869,10709.176330075446
997094,10709.176330075446
721055,11024.870247244335
721051,12224.803652119042
721799,40100.0
721394,32538.986319938558
721634,12782.533450162884
721406,12782.533450162884
721404,12782.533450162884
676630,12782.533450162884
720879,14293.715054465401
721913,16364.941618934734
721867,10342.226826459982
721805,13851.60251105266
721629,11791.006132917475
721567,11791.006132917475
721546,11791.006132917475
721227,11791.006132917475
721178,13851.60251105266
721172,10342.226826459982
721004,11791.006132917475
720994,11791.006132917475
997103,10342.226826459982
997102,11791.006132917475
997101,10342.226826459982
997097,10342.226826459982
721902,2477.660439021986
721856,5244.663635938056
721851,3630.000610099683
721763,8061.728557713843
721710,6632.03628278248
721676,2477.660439021986
721568,2477.660439021986
721395,3630.000610099683
721257,2477.660439021986
721194,5244.663635938056
721192,5244.663635938056
721190,3630.000610099683
721186,2477.660439021986
721177,2477.660439021986
721029,2477.660439021986
721028,6632.03628278248
721016,2477.660439021986
721015,6632.03628278248
721003,3630.000610099683
720993,3630.000610099683
720992,6632.03628278248
720951,8061.728557713843
720944,3630.000610099683
720943,3630.000610099683
720942,3630.000610099683
720935,3630.000610099683
720920,2477.660439021986
720916,3630.000610099683
720864,2477.660439021986
720856,5244.663635938056
721901,9213.887937600844
721881,11089.835121539096
721871,11089.835121539096
721806,9213.887937600844
721559,8545.815710913626
721288,8545.815710913626
721255,8545.815710913626
721074,11089.835121539096
721070,8545.815710913626
721033,11089.835121539096
720874,14125.249419396217
856213,9213.887937600844
721907,6942.619722369657
721688,6942.619722369657
721067,6942.619722369657
721049,6222.572598412687
721012,9071.149615652525
721858,10862.359435491633
721592,11689.248407182638
720952,15262.46085966991
721909,9108.040913420886
721908,9108.040913420886
721818,9108.040913420886
721791,9108.040913420886
721790,9108.040913420886
721786,12236.412445687045
721770,9108.040913420886
721724,12236.412445687045
721659,9108.040913420886
721561,9108.040913420886
721560,9108.040913420886
721508,10433.119335528909
721403,26645.741521232096
721284,9108.040913420886
721282,9108.040913420886
721248,13395.345182112293
721173,9108.040913420886
721073,9108.040913420886
721071,9108.040913420886
721069,12236.412445687045
721009,9108.040913420886
721008,10433.119335528909
720991,10433.119335528909
720973,9108.040913420886
720962,10433.119335528909
720887,10433.119335528909
720859,9108.040913420886
893700,9108.040913420886
933883,9108.040913420886
721906,10480.088412035846
721614,9901.78164494872
721195,9901.78164494872
720948,9901.78164494872
721723,12561.150705977581
721509,9118.057816714543
721505,15613.661447602915
721454,10501.320011229614
721446,13996.695413000425
721844,16122.190631596734
721072,14848.650622605577
721857,10097.886462485643
721405,17639.21483371848
721031,13584.6990693744
721030,13271.356604020104
721558,8202.78506791416
721409,7245.403099188464
721354,7245.403099188464
720891,7245.403099188464
721623,11296.567669016868
721615,11429.38911511097
721611,11429.38911511097
